OBJECTID,count,sex_class,height,latitude,longitude,location_route,start_date,perch_nest_sub,flight_behaviours,perched_behaviours,distance_m,prefered_name,Raptor Group,Temperature,Cloud,Wind,survey_ID,transect_ID,transect_repeat,season
1221787,1,undetermined,20 - 50 m (pylons / tall tree height),-35.57145091,138.4960211,Victor Harbour,"12/6/2022, 8:30 AM",unspecified,soaring,unspecified,470,Wedge-tailed Eagle,eagles,Cool,Light Cloud,Breeze,1,VH_1,1,1
1221785,2,undetermined,20 - 50 m (pylons / tall tree height),-35.43321172,138.578034,Victor Harbour,"12/6/2022, 9:33 AM",unspecified,soaring,unspecified,677,Wedge-tailed Eagle,eagles,Cool,Overcast,Wind,2,VH_2,1,1
1221786,2,undetermined,20 - 50 m (pylons / tall tree height),-35.51399056,138.6027006,Victor Harbour,"12/6/2022, 9:10 AM",unspecified,soaring,unspecified,385,Wedge-tailed Eagle,eagles,Cool,Overcast,Wind,2,VH_2,1,1
1221782,1,undetermined,1 - 20 m (poles / low tree height),-35.36657354,138.9847852,Strathalbyn,"12/7/2022, 9:37 AM",unspecified,unspecified,unspecified,179,Swamp Harrier,harriers,Cool,Overcast,Breeze,5,S_3,1,1
1221783,1,undetermined,50 - 150 m (at risk colliding with turbines),-35.31354269,138.9346032,Strathalbyn,"12/7/2022, 9:20 AM",unspecified,soaring,unspecified,1651,Wedge-tailed Eagle,eagles,Cool,Overcast,Breeze,5,S_3,1,1
1221784,1,undetermined,20 - 50 m (pylons / tall tree height),-35.29427331,138.9040727,Strathalbyn,"12/7/2022, 9:14 AM",unspecified,gliding and flapping (directional flight),unspecified,345,Wedge-tailed Eagle,eagles,Cool,Overcast,Breeze,5,S_3,1,1
1221779,2,undetermined,1 - 20 m (poles / low tree height),-35.19839974,138.8965826,Strathalbyn,"12/7/2022, 11:06 AM",unspecified,hovering,unspecified,392,Nankeen Kestrel,kesrels,Cool,Light Cloud,Wind,6,S_2,1,1
1221780,1,undetermined,1 - 20 m (poles / low tree height),-35.19912764,138.8941345,Strathalbyn,"12/7/2022, 11:04 AM",unspecified,hovering,unspecified,182,Black-shouldered Kite,kites&others,Cool,Light Cloud,Wind,6,S_2,1,1
1221781,1,undetermined,20 - 50 m (pylons / tall tree height),-35.22283951,138.8939267,Strathalbyn,"12/7/2022, 10:59 AM",large tree,unspecified,just perching,37,Brown Falcon,falcons,Cool,Light Cloud,Wind,6,S_2,1,1
1221778,1,undetermined,1 - 20 m (poles / low tree height),-35.1894756,138.5000523,South Adelaide,"12/8/2022, 12:27 PM",overhead lines,unspecified,unspecified,118,Nankeen Kestrel,kesrels,Cool,Light Cloud,Breeze,9,SA_3,1,1
1221775,1,undetermined,1 - 20 m (poles / low tree height),-34.72131994,138.6015884,North Adelaide,"12/9/2022, 12:58 PM",misc. natural,unspecified,unspecified,15,Nankeen Kestrel,kesrels,Warm,Light Cloud,Breeze,12,NA_3,1,1
1221776,1,undetermined,1 - 20 m (poles / low tree height),-34.72334064,138.6005362,North Adelaide,"12/9/2022, 12:53 PM",unspecified,soaring,unspecified,85,Peregrine Falcon ,falcons,Warm,Light Cloud,Breeze,12,NA_3,1,1
1221777,1,undetermined,1 - 20 m (poles / low tree height),-34.78599131,138.6047271,North Adelaide,"12/9/2022, 12:34 PM",unspecified,flapping,unspecified,25,Nankeen Kestrel,kesrels,Warm,Light Cloud,Breeze,12,NA_3,1,1
1221773,1,undetermined,1 - 20 m (poles / low tree height),-34.33849005,138.9955404,Nuriootpa,"12/12/2022, 11:24 AM",unspecified,hovering,unspecified,137,Nankeen Kestrel,kesrels,Cool,Light Cloud,Wind,14,N_3,1,1
1221774,1,undetermined,1 - 20 m (poles / low tree height),-34.41698673,138.9697419,Nuriootpa,"12/12/2022, 10:57 AM",overhead lines,unspecified,just perching,40,Nankeen Kestrel,kesrels,Cool,Light Cloud,Wind,14,N_3,1,1
1221771,1,undetermined,1 - 20 m (poles / low tree height),-34.46644598,139.1016185,Nuriootpa,"12/12/2022, 12:47 PM",unspecified,flapping,unspecified,49,Nankeen Kestrel,kesrels,Cool,Light Cloud,Wind,15,N_2,1,1
1221772,1,undetermined,50 - 150 m (at risk colliding with turbines),-34.46783744,139.0442647,Nuriootpa,"12/12/2022, 12:34 PM",unspecified,soaring,unspecified,324,Peregrine Falcon ,falcons,Cool,Light Cloud,Wind,15,N_2,1,1
1221769,1,undetermined,1 - 20 m (poles / low tree height),-33.87797999,138.6411225,Clare,"12/13/2022, 10:39 AM",unspecified,hovering,unspecified,118,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,17,C_2,1,1
1221770,1,undetermined,1 - 20 m (poles / low tree height),-33.87786535,138.6413339,Clare,"12/13/2022, 10:38 AM",overhead lines,unspecified,just perching,97,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,17,C_2,1,1
1221768,1,undetermined,1 - 20 m (poles / low tree height),-33.80719845,138.6241841,Clare,"12/13/2022, 11:56 AM",unspecified,hovering,unspecified,41,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,18,C_1,1,1
1221765,1,undetermined,1 - 20 m (poles / low tree height),-32.59888057,137.7592296,Port Augusta,"12/14/2022, 9:50 AM",unspecified,hovering,unspecified,171,Nankeen Kestrel,kesrels,Cool,Overcast,Breeze,19,PA_1,1,1
1221766,2,undetermined,20 - 50 m (pylons / tall tree height),-32.55210485,137.7481786,Port Augusta,"12/14/2022, 9:37 AM",transmission tower,unspecified,just perching,129,Nankeen Kestrel,kesrels,Cool,Overcast,Breeze,19,PA_1,1,1
1221767,1,undetermined,20 - 50 m (pylons / tall tree height),-32.48958006,137.7488093,Port Augusta,"12/14/2022, 9:21 AM",unspecified,soaring,unspecified,85,Little Eagle,eagles,Cool,Overcast,Breeze,19,PA_1,1,1
1221759,1,undetermined,20 - 50 m (pylons / tall tree height),-32.39374933,137.8535605,Port Augusta,"12/14/2022, 11:11 AM",unspecified,hovering,unspecified,150,Nankeen Kestrel,kesrels,Cool,Overcast,Wind,20,PA_2,1,1
1221760,1,undetermined,50 - 150 m (at risk colliding with turbines),-32.38901973,137.8469517,Port Augusta,"12/14/2022, 11:09 AM",unspecified,thermal soaring,unspecified,999,Wedge-tailed Eagle,eagles,Cool,Overcast,Wind,20,PA_2,1,1
1221761,1,undetermined,1 - 20 m (poles / low tree height),-32.42655317,137.8487886,Port Augusta,"12/14/2022, 10:57 AM",unspecified,flapping,unspecified,17,Nankeen Kestrel,kesrels,Cool,Overcast,Wind,20,PA_2,1,1
1221762,2,undetermined,50 - 150 m (at risk colliding with turbines),-32.4898495,137.8321979,Port Augusta,"12/14/2022, 10:40 AM",unspecified,thermal soaring,unspecified,1711,Wedge-tailed Eagle,eagles,Cool,Overcast,Wind,20,PA_2,1,1
1221763,1,undetermined,1 - 20 m (poles / low tree height),-32.48328694,137.8141038,Port Augusta,"12/14/2022, 10:34 AM",unspecified,hovering,unspecified,223,Nankeen Kestrel,kesrels,Cool,Overcast,Wind,20,PA_2,1,1
1221764,1,male,1 - 20 m (poles / low tree height),-32.48236106,137.8021548,Port Augusta,"12/14/2022, 10:30 AM",building,unspecified,just perching,64,Nankeen Kestrel,kesrels,Cool,Overcast,Wind,20,PA_2,1,1
1221757,1,undetermined,20 - 50 m (pylons / tall tree height),-32.40405531,137.7263372,Port Augusta,"12/14/2022, 12:46 PM",unspecified,gliding and flapping (directional flight),unspecified,831,Nankeen Kestrel,kesrels,Warm,Light Cloud,Wind,21,PA_3,1,1
1221758,1,undetermined,20 - 50 m (pylons / tall tree height),-32.40638449,137.7384829,Port Augusta,"12/14/2022, 12:44 PM",unspecified,gliding and flapping (directional flight),unspecified,340,Nankeen Kestrel,kesrels,Warm,Light Cloud,Wind,21,PA_3,1,1
1221750,1,undetermined,1 - 20 m (poles / low tree height),-34.46385755,136.0013833,Tumby Bay,"12/15/2022, 10:16 AM",small tree,unspecified,just perching,12,Brown Falcon,falcons,Cold,Overcast,Wind,22,T_3,1,1
1221751,1,undetermined,1 - 20 m (poles / low tree height),-34.46640769,136.0419112,Tumby Bay,"12/15/2022, 10:02 AM",unspecified,hovering,unspecified,1774,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,22,T_3,1,1
1221752,1,undetermined,1 - 20 m (poles / low tree height),-34.45109284,136.0473357,Tumby Bay,"12/15/2022, 10:00 AM",small tree,unspecified,just perching,5,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,22,T_3,1,1
1221753,1,undetermined,1 - 20 m (poles / low tree height),-34.44692619,136.0518191,Tumby Bay,"12/15/2022, 9:58 AM",unspecified,gliding and flapping (directional flight),unspecified,459,Peregrine Falcon ,falcons,Cold,Overcast,Wind,22,T_3,1,1
1221754,1,undetermined,0 m ground level,-34.44843083,136.0530129,Tumby Bay,"12/15/2022, 9:57 AM",unspecified,quartering,unspecified,299,Swamp Harrier,harriers,Cold,Overcast,Wind,22,T_3,1,1
1221755,1,undetermined,1 - 20 m (poles / low tree height),-34.43241843,136.0858775,Tumby Bay,"12/15/2022, 9:40 AM",small tree,unspecified,just perching,68,Brown Falcon,falcons,Cold,Overcast,Wind,22,T_3,1,1
1221756,1,undetermined,1 - 20 m (poles / low tree height),-34.4320634,136.0842255,Tumby Bay,"12/15/2022, 9:38 AM",small tree,unspecified,just perching,227,Black-shouldered Kite,kites&others,Cold,Overcast,Wind,22,T_3,1,1
